id,name,country_id:id,state_id:id,county_id:id
gt_zone_227,Zona 5,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_228,Zona 6,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_229,Zona 7,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_230,Zona 8,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_231,Zona 9,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_232,Zona 10,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_233,Zona 11,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_119
gt_zone_234,Zona 1,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_235,Zona 2,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_236,Zona 3,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_237,Zona 4,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_238,Zona 5,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_239,Zona 6,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_240,Zona 7,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_241,Zona 8,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_242,Zona 9,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_243,Zona 10,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_244,Zona 11,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_120
gt_zone_245,Zona 1,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_246,Zona 2,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_247,Zona 3,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_248,Zona 4,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_249,Zona 5,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_250,Zona 6,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_251,Zona 7,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_252,Zona 8,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_253,Zona 9,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_254,Zona 10,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_255,Zona 11,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_256,Zona 12,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_257,Zona 13,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_258,Zona 14,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_259,Zona 15,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_260,Zona 16,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_261,Zona 17,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_262,Zona 18,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_263,Zona 19,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_264,Zona 20,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_265,Zona 21,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_266,Zona 22,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
gt_zone_267,Zona 23,base.gt,base.state_gt_gua,l10n_gt_inteligos.county_gt_111
